i,feasible,J_norm,J_raw,mean_surplus,var_surplus,cohesion_pen,min_pressure
18,1,5.435970957922765,36.65137405906253,15.133291129373019,1.8541898593647574,0.8222222222222222,22.48716741369007
19,1,5.148374429605938,35.54413891476611,14.958187915398467,1.6166617687304654,0.7777777777777778,23.898673169953852
20,1,5.209979423668411,35.918558859059246,15.223529779152459,1.5386479150662578,0.8555555555555557,24.206630673314226
21,1,5.304990751124503,36.187943222795326,15.181934693910536,1.6561727598062332,0.8555555555555556,23.997076896630613
22,1,5.104545169754014,35.582346184109824,15.201097289542098,1.448939423897431,0.8333333333333334,24.019433110817594
23,1,4.973127215216323,35.05444978412033,15.242739964284832,1.2266936555539274,0.888888888888889,24.66569229887687
24,1,4.795899867695585,34.58893726328918,15.247006298799981,1.0871971107852947,0.8333333333333335,24.74827072826371
25,1,5.115109677234874,35.5310866115502,15.094750920814063,1.5101578862703207,0.8111111111111111,23.914498467243774
26,1,4.908441094985014,34.842302270314946,15.107696787253076,1.2719325282325622,0.8111111111111112,23.87365430004969
27,1,5.150362569219847,35.516726490636934,14.993119771230985,1.573125279021284,0.8111111111111112,23.486986628482345
28,1,4.986033897719751,35.098906630488905,15.060848512802671,1.396106905331556,0.7888888888888891,24.164896411121475
29,1,5.050182640747291,35.412442324998906,15.21300487027218,1.384366417040404,0.8333333333333335,24.33005326989515
30,1,5.006922073690851,35.16219128139605,15.034524737124963,1.4384546764561141,0.777777777777778,24.164896411121475
31,1,4.941530536796106,35.0304953752589,15.265580102724739,1.2108895010475857,0.8666666666666668,24.49787278438601
32,1,5.073963315722541,35.47304419968551,15.258172179695785,1.3633443912090897,0.8666666666666668,24.33005326989515
33,1,4.794657400323773,34.60767161080087,15.183368915954528,1.150681630000974,0.7888888888888891,24.624848131682786
34,1,5.2096951728403464,35.96533086788331,15.219048433564527,1.5646335558069733,0.8333333333333335,24.24747484050831
35,1,5.152836244272296,35.61901700513012,15.06388094117503,1.5600480038896491,0.8111111111111111,24.327390614177965
36,1,5.042461580465865,35.322261665211876,15.18513228972869,1.3691842137700168,0.8444444444444446,24.079655326017452
37,1,5.028360701826902,35.33529072949912,15.271759549852218,1.3083683210426722,0.8666666666666667,24.164896411121475
38,1,5.209199602307859,35.86961841963178,15.208875692291068,1.528400122794325,0.8666666666666667,24.24481218479113
39,1,5.32216531231368,36.091540024604456,15.004280530352125,1.7535855805593266,0.8222222222222223,22.902722216341445
40,1,5.7228301960382275,37.42199758508313,14.975505077145389,2.2162550695233763,0.8222222222222223,20.220322469439402
41,1,4.916723768578365,34.89421032622949,15.165986425044766,1.2429680476022071,0.8333333333333335,24.412631699281988
42,1,5.004608353292633,35.14599497835529,15.129476920224363,1.3512359348577436,0.8333333333333334,23.997076896630613
43,1,5.758491406342537,37.66268486423269,15.024659950905907,2.2711216541402925,0.8,21.254454934528713
44,1,5.158503053277384,35.6265240495306,15.196633088763026,1.4481229943718887,0.888888888888889,24.33005326989515
45,1,4.8900102276888635,34.87999047898542,15.224071407665766,1.1995047767735172,0.8333333333333334,24.49568390542484
46,1,5.280138697495111,35.93741838665691,15.016555595679032,1.69032462065517,0.8333333333333335,23.914498467243774
47,1,5.719090036654086,37.36170613435923,14.777746862225008,2.357626358858626,0.7333333333333335,22.089117290547314
48,1,4.934657535681394,35.01361559201788,15.209831660128051,1.2535396461428134,0.8333333333333335,24.624848131682786
49,1,5.0688319411245475,35.44325130836125,15.208441634457538,1.3939745316672434,0.8444444444444444,24.412631699281988
50,1,4.9742132292125465,34.98748328130935,15.14896397272153,1.274296223066542,0.8666666666666667,23.914498467243774
51,1,4.946985332238263,34.98675044871424,15.218543771691449,1.2276654128882256,0.8666666666666667,24.269831054695292
52,1,5.064189165113819,35.35539661774437,15.032706327839685,1.5040687280957397,0.7777777777777778,23.067879075115123
53,1,4.922998791515794,34.83193869735801,15.102867222305601,1.2642903064711584,0.8333333333333334,24.33005326989515
54,1,4.978307946837462,35.037869494748826,15.054964371289964,1.375980250722966,0.8,24.415294354999173
55,1,5.402448933196517,36.45708318279019,15.012406190568944,1.8811273042544707,0.7888888888888891,21.81264522078573
56,1,5.119799533958709,35.652294353063226,15.234791706183689,1.446088832083802,0.8444444444444446,23.664100523366077
57,1,5.808339214098269,37.80358107532067,14.941784489856994,2.3844484763133384,0.7666666666666665,22.821033881953273
